intitule,adresse,codepostal,ville,telephone,latitude,longitude
Tribunal de Grande Instance de Meaux,44 Avenue Salvador Allendé B.P. 230 ,77108,MEAUX CEDEX,+33 1 60 09 75 00,48.956216,2.888272
Tribunal de Grande Instance du Mans,Cité Judiciaire 1 Avenue Pierre Mendès-France ,72014,LE MANS CEDEX 2,+33 2 43 83 77 00,48.0064699,0.1997661
Tribunal de Grande Instance de Draguignan,Palais de Justice 11 Rue Pierre Clément   B.P. 273 ,83007,DRAGUIGNAN CEDEX,+33 4 94 60 57 00,43.537228,6.447793
Tribunal de Grande Instance de Versailles,  3 Avenue de l'Europe,78011,VERSAILLES CEDEX,+33 1 39 07 39 07,48.803612,2.130523
Tribunal de Grande Instance de Blois,  Place de la République,41018,BLOIS CEDEX,+33 2 54 44 60 99,47.589372,1.3338
Tribunal de Grande Instance de Vienne,  16 Place Charles de Gaulle,38209,VIENNE CEDEX,+33 4 74 78 81 81,45.525884,4.8739588
Tribunal de Grande Instance de Nevers,Place du Palais B.P. 6 ,58019,NEVERS CEDEX,+33 3 86 93 44 44,46.986588,3.157571
Tribunal de Grande Instance de Metz,3 Rue Haute Pierre B.P. 81022 ,57036,METZ CEDEX 01,+33 3 87 56 75 00,49.116779,6.171264
Tribunal de Grande Instance d'Ajaccio,4 boulevard Masseria BP 47 ,20181,AJACCIO CEDEX 1,+33 4 95 29 06 06,41.925605,8.736978
Tribunal de Grande Instance de Tours,  2 Place Jean-Jaurès,37928,TOURS CEDEX 9,+33 2 47 60 26 60,47.3900896,0.6897644
Tribunal de Grande Instance de Saint-Malo,1 Place Saint-Aaron CS 51731 ,35417,ST MALO CEDEX,+33 2 99 20 20 20,48.6481785,-2.0260898
Tribunal de Première Instance de Mata-Utu,Tribunal de Première Instance de MATA-UTU ,98600,UVEA,+681 72 27 15,-13.2833333,-176.1833333
Tribunal de Première Instance de Nouméa,2 Bd Extérieur   Fg Blanchot B.P. F4 ,98848,NOUMEA CEDEX,+687 27 93 50,-22.2758333,166.4580556
Tribunal de Grande Instance de Quimper,  48 A quai de l'Odet,29327,QUIMPER CEDEX,+33 2 98 82 88 00,47.992566,-4.108723
Tribunal de Grande Instance de Périgueux,19 Bis Cours Montaigne B.P. 9051 ,24019,PERIGUEUX CEDEX,+33 5 53 02 77 00,45.185563,0.720548
Tribunal de Grande Instance de Saint-Pierre,28 Rue Augustin Archambeaud B.P. 338 ,97448,ST PIERRE CEDEX,+33 2 62 96 10 00,-21.323885,55.486915
Tribunal de Grande Instance de Troyes,  83 Rue du Général de Gaulle,10026,TROYES CEDEX,+33 3 25 43 55 70,48.297202,4.069243
Tribunal de Grande Instance de Carpentras,Place du Général de Gaulle B.P. 265 ,84208,CARPENTRAS CEDEX,+33 4 90 63 66 00,44.061565,5.057299
Tribunal de Grande Instance d'Avignon,Palais de Justice 2 Boulevard Limbert ,84078,AVIGNON CEDEX 9,+33 4 32 74 74 00,43.944784,4.816066
Tribunal de Grande Instance de Saint-Denis-de-La-Réunion,5 Avenue André Malraux B.P. 338 ,97494,STE CLOTILDE CEDEX,+33 2 62 40 23 45,-20.888016,55.46583
Tribunal de Grande Instance de Limoges,Palais de Justice 17 Place d'Aine ,87031,LIMOGES CEDEX 1,+33 5 55 11 81 00,45.830161,1.255227
Tribunal de Grande Instance de Briey,Cité Judiciaire Place de l'Eglise B.P. 139 ,54151,BRIEY CEDEX,+33 3 82 47 56 00,49.252821,5.974587
Tribunal de Grande Instance de Nanterre,  179-191 Avenue Joliot Curie,92020,NANTERRE CEDEX,+33 1 40 97 10 10,48.8970987,2.2176603
Tribunal de Grande Instance de Brest,32 Rue de Denver B.P. 60123 ,29601,BREST CEDEX 2,+33 2 98 33 78 00,48.384325,-4.485586
Tribunal de Grande Instance de Saint-Brieuc,Parc des Promenades B.P. 2357 ,22023,ST BRIEUC CEDEX 1,+33 2 96 62 30 00,48.513017,-2.757331
Tribunal de Grande Instance de Bayonne,  Avenue de la Légion Tchèque,64100,BAYONNE,+33 5 59 44 54 00,43.4928709,-1.4881017
Tribunal de Grande Instance de Villefranche-sur-Saône,Palais de Justice 350 Bld Gambetta   B.P. 474 ,69665,VILLEFRANCHE SUR SAONE CED,+33 4 74 65 63 63,45.986718,4.722057
Tribunal de Grande Instance de Lyon,  67 Rue Servient,69433,LYON CEDEX 03,+33 4 72 60 70 12,45.7603055,4.8465698
Tribunal de Grande Instance de Saint-Omer,  3 Rue des Tribunaux,62503,ST OMER CEDEX,+33 3 21 98 79 70,50.747411,2.253846
Tribunal de grande instance de Mamoudzou,  ,97600,MAMOUDZOU,,,
Tribunal de Grande Instance de Compiègne,11 Rue Henri de Séroux B.P. 80059 ,60321,COMPIEGNE CEDEX,+33 3 44 38 35 24,49.417087,2.82813
Tribunal de Grande Instance de Montpellier,  Place Pierre Flotte,34040,MONTPELLIER CEDEX 1,+33 4 67 12 60 00,43.6104379,3.868906
Tribunal de Grande Instance de Dax,Rue des Fusillés B.P. 355 ,40107,DAX CEDEX,+33 5 58 56 88 20,43.709466,-1.051532
Section Détachée du Tribunal de Première Instance à Lifou,  Section Détachée de Lifou,98820,WE,+687 45 12 82,-21.0384968,167.2405153
Tribunal de Grande Instance de Chalon-sur-Saône,  Rue Emiland-Menand,71331,CHALON SUR SAONE CEDEX,+33 3 85 93 77 00,46.7846259,4.8536094
Tribunal de Grande Instance de Soissons,  76 Rue Saint-Martin,2209,SOISSONS CEDEX,+33 3 23 76 39 39,49.3804223,3.3280404
Tribunal de Grande Instance de Mende,  Boulevard Henri Bourillon,48000,MENDE,+33 4 66 65 28 11,44.516188,3.49822
Tribunal de Grande Instance de Poitiers,10 Place Alphonse Lepetit B.P. 527 ,86020,POITIERS CEDEX,+33 5 49 50 22 00,46.583217,0.341729
Tribunal de Grande Instance de Mulhouse,  21 Avenue Robert Schumann,68061,MULHOUSE CEDEX 3,+33 3 89 36 25 00,47.752347,7.342874
Tribunal de Grande Instance de Bergerac,Place du Palais B.P. 207 ,24112,BERGERAC CEDEX,+33 5 53 74 40 00,44.85283,0.485636
Tribunal de Grande Instance de Saint-Etienne,  Place du Palais de Justice,42022,ST ETIENNE CEDEX 1,+33 4 77 43 33 00,45.4379283,4.3842586
Tribunal de Grande Instance de Rouen,Palais de Justice 1 Place du Maréchal Foch ,76037,ROUEN CEDEX,+33 2 35 52 87 52,49.442231,1.091543
Tribunal de Grande Instance de Chaumont,Rue du Palais B.P. 2061 ,52903,CHAUMONT CEDEX 9,+33 3 25 32 84 20,48.112727,5.136812
Tribunal de Grande Instance de Bourg-en-Bresse,4 Rue du Palais B.P. 306 ,1011,BOURG EN BRESSE CEDEX,+33 4 74 24 19 53,46.205529,5.223488
Tribunal de Grande Instance de Grenoble,Place Firmin Gautier BP 100 ,38019,GRENOBLE CEDEX 1,+33 4 38 21 21 21,45.190629,5.711582
Tribunal de Grande Instance de Cusset,  Rue du Drapeau,3306,CUSSET CEDEX,+33 4 70 30 98 30,46.132877,3.456196
Tribunal de Grande Instance de Montluçon,  114 Boulevard de Courtais,3109,MONTLUCON CEDEX,+33 4 70 28 12 13,46.3398176,2.6078132
Tribunal de Grande Instance de Laon,  Place Aubry,2001,LAON CEDEX,+33 3 23 26 29 00,49.564965,3.625177
Tribunal de Grande Instance de Saint-Quentin,Rue Victor Basch B.P. 645/1 ,2322,ST QUENTIN CEDEX,+33 3 23 05 89 00,49.84719,3.285475
Tribunal de Grande Instance d'Aix-en-Provence,  40 Boulevard Carnot,13616,AIX EN PROVENCE CEDEX 1,+33 4 42 33 83 00,43.5274683,5.4554748
Tribunal de Grande Instance de Grasse,37 Avenue Pierre Semard B.P. 71029 ,6133,GRASSE CEDEX,+33 4 92 60 72 00,43.656694,6.928526
Tribunal de Grande Instance de Nice,  Place du Palais,6357,NICE CEDEX 4,+33 4 92 17 70 00,43.696633,7.2737625
Tribunal de Grande Instance de Rodez,Boulevard de Guizard BP 3123 ,12031,RODEZ CEDEX 9,+33 5 65 73 43 00,44.3489355,2.5727445
Tribunal de Grande Instance de Sarreguemines,Place du Général Sibille B.P. 71129 ,57216,SARREGUEMINES CEDEX,+33 3 87 28 31 00,49.108781,7.068461
Tribunal de Grande Instance d'Aurillac,  21 Place du Square,15012,AURILLAC CEDEX,+33 4 71 45 59 59,44.927738,2.443886
Tribunal de Grande Instance d'Angoulême,Place Francis Louvel B.P. 214 ,16007,ANGOULEME CEDEX,+33 5 45 37 11 00,45.649207,0.15429
Tribunal de Grande Instance de Marseille,  6 Rue Joseph Autran,13281,MARSEILLE CEDEX 06,+33 4 91 15 50 50,43.2907289,5.3740786
Tribunal de Grande Instance de Lisieux,Cour Matignon B.P. 47227 ,14107,LISIEUX CEDEX,+33 2 31 48 53 60,49.146344,0.235969
Tribunal de Grande Instance de Roanne,5 Bis Place Georges Clémenceau B.P. 515 ,42328,ROANNE CEDEX,+33 4 77 44 48 00,46.039881,4.072387
Tribunal de Grande Instance de Lorient,1 Rue Maître Esvelin Porte A ,56325,LORIENT CEDEX,+33 2 97 84 12 50,47.744802,-3.363643
Tribunal de Grande Instance de Mâcon,Palais de Justice 8 Rue de la Préfecture ,71017,MACON CEDEX,+33 3 85 39 92 00,46.3076337,4.8326325
Tribunal de Grande Instance de Tarascon,  Place  du docteur Braye,13158,TARASCON CEDEX,+33 4 90 91 72 00,43.8048118,4.6582203
Tribunal de Grande Instance de Brive-la-Gaillarde,Palais de Justice Boulevard du Maréchal Lyautey ,19312,BRIVE LA GAILLARDE CEDEX,+33 5 55 17 77 77,45.1567616,1.5325855
Tribunal de Grande Instance de Beauvais,20 Boulevard Saint-Jean B.P. 325 ,60021,BEAUVAIS CEDEX,+33 3 44 79 60 60,49.429088,2.075929
Tribunal de Grande Instance de La Rochelle,  10 Rue du Palais,17028,LA ROCHELLE CEDEX 1,+33 5 46 50 87 10,46.159808,-1.1536929
Tribunal de Grande Instance de Charleville-Mézières,  9 Esplanade du Palais de Justice,8000,CHARLEVILLE MEZIERES,+33 3 24 57 69 00,49.760902,4.7216075
Tribunal de Grande Instance de Foix,Palais de Justice 14 Rue du Rocher   B.P. 78 ,9008,FOIX CEDEX,+33 5 61 02 19 00,42.96647,1.605087
Tribunal de Grande Instance de Pau,Palais de Justice 5 Place de la Libération ,64034,PAU CEDEX,+33 5 59 82 46 15,43.297682,-0.371384
Tribunal de Grande Instance de Caen,  Place Fontette,14052,CAEN CEDEX 4,+33 2 31 30 55 55,49.181939,-0.370636
Tribunal de Grande Instance de Clermont-Ferrand,Palais de Justice 16 Place de l'Etoile ,63033,CLERMONT FERRAND CEDEX 1,+33 4 73 31 77 00,45.779422,3.080691
Tribunal de Grande Instance de Moulins,20 Rue de Paris B.P. 1627 ,3016,MOULINS CEDEX,+33 4 70 35 14 55,46.5683737,3.330534
Tribunal de Grande Instance de Perpignan,Place Arago B.P. 921 ,66921,PERPIGNAN CEDEX,+33 4 68 51 96 96,42.703347,2.884902
Tribunal de Grande Instance d'Auxerre,Place du Palais de Justice B.P. 39 ,89010,AUXERRE CEDEX,+33 3 86 72 30 00,47.798136,3.567723
Tribunal de Grande Instance de Tarbes,  Rue du Maréchal Foch,65000,TARBES,+33 5 62 51 77 00,43.231872,0.076531
Tribunal de Grande Instance de Nîmes,Nouveau Palais de Justice Boulevard des Arènes ,30000,NIMES,+33 4 66 76 47 00,43.8343479,4.3590266
Tribunal de Grande Instance de Strasbourg,Quai Finkmatt B.P. 1030 ,67070,STRASBOURG CEDEX,+33 3 88 75 27 27,48.587234,7.747288
Section Détachée du Tribunal de Première Instance à Nuku-Hiva,Section Détachée de Nuku-Hiva TAIOHAE  BP 47 ,98742,AAKAPA,+689 92 03 25,-8.795346,-140.228315
Section Détachée du Tribunal de Première Instance à Raïatéa,Section Détachée de Raïatéa UTUROA  BP 38 ,98735,UTUROA,+689 66 32 08,-16.7328701,-151.4420882
Section Détachée du Tribunal de Première Instance à Koné,  Section Détachée de Koné,98860,KONE,+687 35 55 13,-21.060339,164.865749
Tribunal de Grande Instance de Saverne,7 Rue du Tribunal B.P. 50135 ,67703,SAVERNE CEDEX,+33 3 88 71 61 51,48.74059,7.364851
Tribunal de Grande Instance de Béziers,Place de la Révolution C.S. 604 ,34535,BEZIERS CEDEX,+33 4 67 49 60 00,43.34146,3.210654
Tribunal de Grande Instance de Rennes,Cité Judiciaire - CS 73127 7 Rue Pierre Abélard ,35031,RENNES CEDEX,+33 2 99 65 37 37,48.105532,-1.686493
Tribunal de Grande Instance de Mont-de-Marsan,5 Avenue du 8 mai 1945 B.P. 315 ,40011,MONT DE MARSAN CEDEX,+33 5 58 85 41 85,43.893023,-0.501646
Tribunal de Grande Instance de Bordeaux,  30 Rue des Frères Bonie,33077,BORDEAUX CEDEX,+33 5 47 33 90 00,44.836622,-0.580456
Tribunal de Grande Instance de Toulouse,2 Allée Jules Guesde B.P. 7015 ,31068,TOULOUSE CEDEX 7,+33 5 61 33 70 00,43.593022,1.444409
Tribunal de Grande Instance de Montbéliard,Cité Judiciaire Rue Mozart ,25209,MONTBELIARD CEDEX,+33 3 81 90 70 00,47.5118726,6.7997133
Tribunal de Grande Instance de Besançon,1 Rue Mégevand B.P. 459 ,25019,BESANCON CEDEX,+33 3 81 61 60 00,47.236418,6.022855
Tribunal de Grande Instance de Reims,  Place Myron Herrick,51095,REIMS CEDEX,+33 3 26 49 53 51,49.2545811,4.0317319
Tribunal de Grande Instance de Cherbourg,15 Rue des Tribunaux B.P. 740 ,50107,CHERBOURG OCTEVILLE CEDEX,+33 2 33 01 61 61,49.638055,-1.62321
Tribunal de Grande Instance de Laval,13 Place Saint Tugal B.P. 81515 ,53015,LAVAL CEDEX,+33 2 43 49 57 00,48.06931,-0.77361
Tribunal de Grande Instance de Dijon,Cité Judiciaire 13 Bld Clémenceau   BP 13313 ,21033,DIJON CEDEX,+33 3 80 70 45 00,47.323411,5.045469
Tribunal de Grande Instance de Bar-le-Duc,  21-25 place Saint-Pierre,55014,BAR LE DUC CEDEX,+33 3 29 79 02 95,48.769016,5.159238
Tribunal de Grande Instance de Nancy,Cité Judiciaire Rue du Général Fabvier ,54035,NANCY CEDEX,+33 3 83 90 85 00,48.6776425,6.1757727
Tribunal de Grande Instance d'Angers,Palais de Justice Rue Waldeck Rousseau ,49043,ANGERS CEDEX 01,+33 2 41 20 51 00,47.4712741,-0.5440579
Tribunal de Grande Instance d'Orléans,  7 Rue des Huguenots,45044,ORLEANS CEDEX 1,+33 2 38 74 58 34,47.9049637,1.9072668
Tribunal de Grande Instance de Lons-le-Saunier,11 Rue Pasteur B.P. 20344 ,39015,LONS LE SAUNIER CEDEX,+33 3 84 35 13 00,46.67339,5.556862
Tribunal de Grande Instance de Thionville,Quai Pierre Marchal B.P. 80348 ,57125,THIONVILLE CEDEX,+33 3 82 82 43 50,49.357654,6.169112
Tribunal de Grande Instance de Bourgoin-Jallieu,10 Rue du Tribunal B.P. 648 ,38317,BOURGOIN JALLIEU CEDEX,+33 4 74 28 78 78,45.586789,5.276511
Tribunal de Grande Instance de Libourne,22 Rue Thiers B.P. 202 ,33505,LIBOURNE CEDEX,+33 5 57 55 36 80,44.913816,-0.244407
Tribunal de Grande Instance de Colmar,  Place du Marché aux Fruits,68027,COLMAR CEDEX,+33 3 89 20 56 00,48.075511,7.3584175
Tribunal de Grande Instance de Boulogne-sur-Mer,  Place de la Résistance,62322,BOULOGNE SUR MER CEDEX,+33 3 21 99 61 00,50.725134,1.612177
Tribunal de Grande Instance de Béthune,Place Lamartine B.P. 716 ,62407,BETHUNE CEDEX,+33 3 21 68 72 00,50.534256,2.638276
Tribunal de Grande Instance d'Argentan,2 Rue des Anciens Combattants B.P. 70211 ,61202,ARGENTAN CEDEX,+33 2 33 67 97 97,48.743269,-0.019443
Tribunal de Grande Instance d'Alençon,Place du Maréchal Foch BP 355 ,61014,ALENCON CEDEX,+33 2 33 82 25 00,48.430277,0.0828104
Consultations juridiques gratuites,Tribunal de Grande Instance (TGI) 23; rue du Palais ,52000,CHAUMONT,03.25.32.84.20,48.115061,5.141364
Tribunal de Grande Instance de Dunkerque,Place du Palais de Justice B.P. 6365 ,59385,DUNKERQUE CEDEX 1,+33 3 28 23 53 00,51.031136,2.374939
Tribunal de Grande Instance de Vannes,22 Place de la République B.P. 503 ,56019,VANNES CEDEX,+33 2 97 43 77 00,47.656336,-2.761394
Tribunal de Grande Instance de Niort,2 Rue du Palais B.P. 8819 ,79028,NIORT CEDEX,+33 5 49 77 22 50,46.323334,-0.466306
Tribunal de Grande Instance de Fontainebleau,  159 rue Grande,77305,FONTAINEBLEAU CEDEX,+33 1 60 71 23 00,48.443691,2.609939
Tribunal de Grande Instance de Sens,1 Rue du Palais de Justice B.P. 810 ,89108,SENS CEDEX,+33 3 86 65 86 00,48.196322,3.277018
Tribunal de Grande Instance d'Amiens,Palais de Justice 14 Rue Robert de Luzarches ,80027,AMIENS CEDEX 1,+33 3 22 82 35 00,49.893275,2.301079
Tribunal de Grande Instance d'Evry,  9 Rue des Mazières,91012,EVRY CEDEX,+33 1 60 76 78 00,48.6297484,2.4309592
Tribunal de Grande Instance de Melun,  2 Avenue du Général Leclerc,77010,MELUN CEDEX,+33 1 64 79 80 00,48.527225,2.653534
Tribunal de Grande Instance du Havre,Palais de Justice 133 Bld de Strasbourg   B.P. 6 ,76083,LE HAVRE CEDEX,+33 2 32 92 57 00,49.490686,0.130741
Tribunal de Grande Instance de Dieppe,Palais de Justice  Square Carnot B.P. 229 ,76204,DIEPPE CEDEX,+33 2 35 82 75 55,49.924564,1.083359
Tribunal de Grande Instance de Verdun,Place Saint-Paul Case Officielle 724 ,55107,VERDUN CEDEX,+33 3 29 86 14 05,49.16373,5.384349
Tribunal de Grande Instance d'Avesnes-sur-Helpe,Plateau Chemerault 11 Rue Mal Joffre BP 205 ,59363,AVESNES SUR HELPE CEDEX,+33 3 27 57 78 00,50.123487,3.92827
Tribunal de Grande Instance de Cambrai,Château de Selles B.P. 379 ,59407,CAMBRAI CEDEX,+33 3 27 73 37 37,50.181597,3.224868
Tribunal de Grande Instance de Douai,  47 Rue Merlin de Douai,59500,DOUAI,+33 3 27 93 27 00,50.3691673,3.0782007
Tribunal de Grande Instance de Lille,13 Avenue du Peuple Belge B.P. 729 ,59034,LILLE CEDEX,+33 3 20 78 33 33,50.643791,3.061791
Tribunal de Grande Instance de Valenciennes,13 Rue Capron B.P. 349 ,59304,VALENCIENNES CEDEX,+33 3 27 14 67 00,50.356788,3.521028
Tribunal de Grande Instance de Digne-les-Bains,6 place des Récollets BP 112 ,4000,DIGNE LES BAINS,+33 4 92 31 05 21,44.092,6.239312
Tribunal de Grande Instance de Senlis,Cité Judiciaire Boulevard Pasteur B.P. 112 ,60309,SENLIS CEDEX,+33 3 44 53 91 00,49.210439,2.58386
Tribunal de Grande Instance de Privas,  Cours du Palais,7000,PRIVAS,+33 4 75 66 40 00,44.734646,4.60017
Tribunal de Grande Instance de Gap,Palais de Justice Place Saint-Arnoux     B.P. 77 ,5007,GAP CEDEX,+33 4 92 40 70 00,44.5573985249,6.07751415079
Tribunal de Grande Instance de Carcassonne,28 Boulevard Jean-Jaurès B.P. 818 ,11012,CARCASSONNE CEDEX,+33 4 68 10 37 37,43.214867,2.354691
Tribunal de Grande Instance d'Epinal,  Place Edmond Henry,88026,EPINAL CEDEX,+33 3 29 34 53 53,48.1745814,6.4515713
Tribunal de Grande Instance de Saintes,Square Maréchal Foch CS 80324 ,17108,SAINTES CEDEX,+33 5 46 92 72 27,45.747428,-0.633681
Tribunal de Grande Instance de Narbonne,19 Bld du Général de Gaulle B.P. 810 ,11108,NARBONNE CEDEX,+33 4 34 44 60 60,43.185887,3.009311
Tribunal de Grande Instance d'Evreux,Palais de Justice 30 Rue Joséphine ,27022,EVREUX CEDEX,+33 2 32 29 55 00,49.023877,1.15966
Tribunal de Grande Instance de Bourges,  8 rue des Arènes,18023,BOURGES CEDEX,+33 2 48 68 34 34,47.0849533,2.3929755
Tribunal de Grande Instance de Bobigny,Palais de Justice 173 Av Paul Vaillant Couturier ,93008,BOBIGNY CEDEX,+33 1 48 95 13 93,48.908821,2.450397
Tribunal de Grande Instance d'Alès,Palais de Justice 3 Place Henri Barbusse ,30107,ALES CEDEX,+33 4 66 56 22 50,44.124222,4.080314
Tribunal de Grande Instance de Bastia,  Rond Point de Moro Giafferi,20407,BASTIA CEDEX,+33 4 95 55 23 00,42.7021365,9.4507475
Tribunal de Grande Instance de Châteauroux,Place Lucien Germereau B.P. 577 ,36019,CHATEAUROUX CEDEX,+33 2 54 60 35 35,46.807167,1.693225
Tribunal de Grande Instance d'Auch,  Allée d'Etigny,32008,AUCH CEDEX,+33 5 62 61 67 00,43.64811,0.582501
Tribunal de Grande Instance de Nantes,  19 Quai François Mitterrand,44921,NANTES CEDEX 9,+33 2 51 17 95 00,47.2082993,-1.5627272
Tribunal de Grande Instance du Puy-en-Velay,Place du Breuil CS90335 ,43011,LE PUY EN VELAY CEDEX,+33 4 71 09 05 70,45.042006,3.883505
Tribunal de Grande Instance de Montargis,  84 Rue du Général Leclerc,45207,MONTARGIS CEDEX,+33 2 38 87 59 00,47.9988918,2.7297794
Tribunal de Grande Instance de Saint-Nazaire,77 Rue Albert de Mun B.P. 263 ,44606,ST NAZAIRE CEDEX,+33 2 72 27 30 30,47.278845,-2.214212
Tribunal de Grande Instance d'Agen,  Place Armand Fallières,47916,AGEN CEDEX 9,+33 5 53 77 95 00,44.2007546,0.6172994
Tribunal de Grande Instance de Cahors,Boulevard Léon Gambetta B.P. 289 ,46010,CAHORS CEDEX 9,+33 5 65 23 46 50,44.450094,1.440018
Tribunal de Première Instance de Saint-Pierre-et-Miquelon,14 Rue Emile Sasco B.P. 4215 ,97500,ST PIERRE ET MIQUELON,+33 5 08 41 03 20,,
Tribunal de Grande Instance de Châlons-en-Champagne,  2 Quai Eugène Perrier,51036,CHALONS EN CHAMPAGNE CEDEX,+33 3 26 69 27 27,48.9589712,4.3615452
Tribunal de Grande Instance de Cayenne,  Avenue du Général de Gaulle,97300,CAYENNE,+33 5 94 30 11 60,,
Tribunal de Grande Instance de Belfort,  9 place de la République,90020,BELFORT CEDEX,+33 3 84 58 53 00,47.639285,6.861898
Tribunal de Grande Instance de Pontoise,3 rue Victor Hugo BP 95220 ,95302,CERGY PONTOISE CEDEX,+33 1 72 58 70 00,49.039049,2.044611
Tribunal de Grande Instance de Créteil,  Rue Pasteur Vallery Radot,94011,CRETEIL CEDEX,+33 1 49 81 16 00,48.7836024,2.4423209
Tribunal de Grande Instance de Pointe-à-Pitre,  Place Gourbeyre,97110,POINTE A PITRE,+33 5 90 89 69 50,16.2411111,-61.5330556
Tribunal de Grande Instance de Basse-Terre,  4 Boulevard Félix Eboué,97100,BASSE TERRE,+33 5 90 80 63 63,16.2681696,-61.5857963
Tribunal de Grande Instance de Fort-de-France,Palais de Justice 35 Bd du Gal de Gaulle   BP 633 ,97200,FORT DE FRANCE,+33 5 96 48 41 41,14.637392,-61.069045
Tribunal de Première Instance de Papeete,42 Avenue Bruat B.P. 4633 ,98714,PAPEETE,+689 41 55 00,-17.5430158023,-149.570898554
Tribunal de Grande Instance de Vesoul,Place du Palais B.P. 387 ,70014,VESOUL CEDEX,+33 3 84 78 58 00,47.623709,6.157897
Tribunal de Grande Instance d'Albertville,Avenue des Chasseurs Alpins B.P. 125 ,73208,ALBERTVILLE CEDEX,+33 4 79 32 43 14,45.671754,6.391712
Tribunal de Grande Instance de Chambéry,Place du Palais de Justice B.P. 1023 ,73010,CHAMBERY CEDEX,+33 4 79 33 60 09,45.568124,5.918642
Tribunal de Grande Instance de Guéret,  23 Place Bonnyaud,23011,GUERET CEDEX,+33 5 55 51 93 59,46.1690274,1.870893
Tribunal de Grande Instance de Valence,Place du Palais de Justice B.P. 2113 ,26021,VALENCE CEDEX,+33 4 75 75 49 49,44.930308,4.927628
Tribunal de Grande Instance de Chartres,  3 Rue Saint-Jacques,28019,CHARTRES CEDEX,+33 2 37 18 77 00,48.450043,1.486194
Tribunal de Grande Instance d'Arras,Place des Etats d'Artois B.P. 924 ,62022,ARRAS CEDEX,+33 3 21 51 52 06,50.290256,2.776262
Tribunal de Grande Instance de Coutances,Rue du Palais de Justice B.P. 719 ,50207,COUTANCES CEDEX,+33 2 33 76 68 20,49.049118,-1.442756
Tribunal de Grande Instance d'Annecy,"Palais de Justice ""Novarina"" 51 rue Sommeiller  BP 2321 ",74011,ANNECY CEDEX,+33 4 50 10 17 00,45.892502,6.121093
Tribunal de Grande Instance de Bonneville,Quai du Parquet B.P. 136 ,74136,BONNEVILLE CEDEX,+33 4 50 25 48 00,46.077725,6.405639
Tribunal de Grande Instance de Thonon-les-Bains,10; rue de l'Hôtel Dieu B.P. 50 529 ,74200,THONON LES BAINS,+33 4 50 81 20 00,46.369265,6.478767
Tribunal de Grande Instance de Paris,  4 Boulevard du Palais,75055,PARIS CEDEX 01,+33 1 44 32 51 51,48.8548767,2.3454235
Tribunal de Grande Instance de la Roche-sur-Yon,55 Boulevard Aristide Briand B.P. 833 ,85021,LA ROCHE SUR YON CEDEX,+33 2 51 47 61 00,46.66577,-1.429974
Tribunal de Grande Instance des Sables-d'Olonne,Place du Palais de Justice B.P. 10365 ,85109,LES SABLES D'OLONNE CEDEX,+33 2 51 23 77 00,46.495087,-1.788672
Tribunal de Grande Instance d'Albi,  place Lapérouse,81000,ALBI,+33 5 63 49 49 80,43.925561,2.144701
Tribunal de Grande Instance de Castres,4 Rue du Palais B.P. 409 ,81108,CASTRES CEDEX,+33 5 63 51 93 00,43.605796,2.23817
Tribunal de Grande Instance de Montauban,  Place du Coq,82013,MONTAUBAN CEDEX,+33 5 63 21 40 00,44.016847,1.353339
Tribunal de Grande Instance de Toulon,Place Gabriel Péri B.P. 506 ,83041,TOULON CEDEX 9,+33 4 94 09 60 00,43.126293,5.925389
