intitule,type,adresse,codepostal,ville,telephone,latitude,longitude,
Greffe de LA ROCHELLE,GREFFE,14 RUE DU PALAIS Hotel de La Bourse,17,LA ROCHELLE,+33 546413465,46.159636,-1.153709,
Greffe de MARSEILLE,GREFFE,2 RUE EMILE POLLAK,13,MARSEILLE,+33 491547040,43.291342,5.374374,
Greffe de MANOSQUE,GREFFE,RUE DES TANNEURS,4,MANOSQUE,+33 492877426,43.830893,5.785401,
Greffe de VALENCIENNES,GREFFE,3 PL DU COMMERCE,59,VALENCIENNES,+33 327463478,50.357113,3.518332,
Greffe de TOURS,GREFFE,12 RUE BERTHELOT,37,TOURS CEDEX,+33 247312001,47.395121,0.688083,
Greffe de VANNES,GREFFE,19 RUE DES TRIBUNAUX,56,VANNES CEDEX,+33 297472289,47.658236,-2.760847,
Greffe de TARBES,GREFFE,SQ MAURICE TRELUT,65,TARBES,+33 562517777,43.221049,0.074533,
Greffe de SENS,GREFFE,1 RUE DU PALAIS DE JUSTICE,89,SENS,+33 386652353,48.196331,3.276994,
Greffe de LORIENT,GREFFE,3 RUE BENJAMIN DELESSERT,56,LORIENT,+33 297210153,47.746653,-3.367889,
Greffe de SAINT-BRIEUC,GREFFE,17 RUE PARMENTIER,22,ST BRIEUC CEDEX 1,+33 296336892,48.5088083,-2.751733,
Greffe de CLERMONT-FERRAND,GREFFE,40 RUE DE L'ANGE,63,CLERMONT FERRAND,+33 473160160,45.779788,3.079895,
Greffe de CAHORS,GREFFE,BD GAMBETTA,46,CAHORS,+33 565352434,44.448656,1.440078,
Greffe de CRETEIL,GREFFE,IMMEUBLE LE PASCAL,94,CRETEIL CEDEX,+33 143991007,48.780932,2.458556,
Greffe de BRIEY,GREFFE,4 RUE DU MARECHAL FOCH,54,BRIEY CEDEX,+33 382461504,49.248997,5.939666,
Greffe de CANNES,GREFFE,19 BD CARNOT,6,CANNES CEDEX,+33 483142100,43.556456,7.016884,
Greffe de CHALONS-EN-CHAMPAGNE,GREFFE,,51,CHALONS EN CHAMPAGNE,+33 326684860,48.959158,4.362881,
Greffe de DIJON,GREFFE,13 BD CLEMENCEAU,21,DIJON CEDEX,+33 380704551,47.327705,5.048132,
Greffe de EPINAL,GREFFE,1 PL FOCH,88,EPINAL,+33 329343376,48.173094,6.448138,
Greffe de DAX,GREFFE,55 AV VICTOR HUGO,40,DAX,+33 558900684,43.703894,-1.052756,
Greffe de CARCASSONNE,GREFFE,34 RUE DE STRASBOURG,11,CARCASSONNE,+33 468112730,43.212161,2.353663,
Greffe de BOULOGNE-SUR-MER,GREFFE,16 rue de la Barrière Saint-Michel,62,BOULOGNE SUR MER,+33 321874767,50.7262795,1.6095371,
Greffe de AJACCIO,GREFFE,AV MARECHAL LYAUTEY,20,AJACCIO CEDEX 9,+33 495231782,41.937945,8.744795,
Greffe de AMIENS,GREFFE,18 RUE LAMARTINE,80,AMIENS CEDEX 1,+33 322914323,49.891918,2.304865,
Greffe de ALBI,GREFFE,PLACE DU PALAIS,81,ALBI,+33 563540083,43.92632,2.145789,
Greffe de AUXERRE,GREFFE,90 RUE DE PARIS,89,AUXERRE CEDEX,+33 386722100,47.798389,3.569212,
Greffe de BEZIERS,GREFFE,93 AV PRESIDENT WILSON CITE JUDICIAIRE,34,BEZIERS,+33 467282905,43.336564,3.227513,
Greffe de BAR-LE-DUC,GREFFE,5 RUE FRANCOIS DE GUISE,55,BAR LE DUC,+33 329790939,48.77087,5.157652,
Greffe de CHATEAUROUX,GREFFE,11 RUE PAUL LOUIS COURIER,36,CHATEAUROUX,+33 254340626,46.811434,1.686779,
Greffe de ANNECY,GREFFE,19 AV DU PARMELAN,74,ANNECY CEDEX,+33 450050545,45.905524,6.131979,
Greffe de CHERBOURG,GREFFE,22 RUE DE L'ANCIEN QUAI,50,CHERBOURG CEDEX,+33 233932460,49.639093,-1.625298,
Greffe de COMPIEGNE,GREFFE,2 RUE DAHOMEY,60,COMPIEGNE,+33 344385151,49.417419,2.828684,
Greffe de ARRAS,GREFFE,13 RUE ROGER SALENGRO,62,ARRAS,+33 321242525,50.293843,2.768651,
Greffe de FOIX,GREFFE,14 BD DU SUD,9,FOIX CEDEX,+33 561024280,42.966559,1.606461,
Greffe de MELUN,GREFFE,2 AV DU GENERAL LECLERC,77,MELUN,+33 164798400,48.526354,2.652909,
Greffe de EVRY,GREFFE,1 RUE DE LA PATINOIRE,91,EVRY CEDEX,+33 169473650,48.629441,2.430564,
Greffe de NARBONNE,GREFFE,40 BD DU GENERAL DE GAULLE,11,NARBONNE CEDEX,+33 468320176,43.184558,3.008623,
Greffe de LISIEUX,GREFFE,49 RUE DE PARIS,14,LISIEUX CEDEX,+33 231485550,49.147159,0.233374,
Greffe de NEVERS,GREFFE,19 RUE SAINT MARTIN,58,NEVERS CEDEX,+33 386610671,46.989284,3.159594,
Greffe de MEAUX,GREFFE,56 RUE ARISTIDE BRIAND,77,MEAUX,+33 891011111,48.956157,2.889576,
Greffe de NIORT,GREFFE,18 RUE MARCEL PAUL,79,NIORT CEDEX,+33 549791440,46.32488,-0.456029,
Greffe de DOUAI,GREFFE,66 RUE ST JULIEN,59,DOUAI,+33 327961743,50.371012,3.076526,
Greffe de FREJUS,GREFFE,272 BD JEAN-JAURES,83,FREJUS,+33 494536168,43.433152,6.737034,
Greffe de RENNES,GREFFE,7 RUE PIERRE ABELARD,35,RENNES CEDEX,+33 299653888,48.105325,-1.686294,
Greffe de SEDAN,GREFFE,1 RUE DE LA COMEDIE,8,SEDAN CEDEX,+33 324575053,49.702509,4.943773,
Greffe de THONON-LES-BAINS,GREFFE,10 RUE DE L'HOTEL-DIEU,74,THONON LES BAINS,+33 450721320,46.369037,6.478758,
Greffe de SAINT-NAZAIRE,GREFFE,,44,ST NAZAIRE,+33 240225232,47.279273,-2.215247,
Greffe de TARASCON,GREFFE,28 Allée du Général Jennings de Kilmaine,13,TARASCON,+33 490914200,43.802051,4.662323,
Greffe de ROMANS,GREFFE,2-4 RUE SABATON,26,ROMANS CEDEX,+33 475711848,45.042658,5.051441,
Greffe de CHAUMONT,GREFFE,6 RUE RAYMOND SAVIGNAC BATIMENT DE L'HORLOGE,52,CHAUMONT,+33 325038037,48.096225,5.14334,
Greffe de CAEN,GREFFE,PL GAMBETTA PALAIS DE JUSTICE,14,CAEN,+33 231854000,49.179305,-0.366111,
Greffe de BOURGES,GREFFE,1 PL HENRI MIRPIED,18,BOURGES,+33 248700733,47.086262,2.392906,
Greffe de CHALON-SUR-SAONE,GREFFE,4 RUE Emiland Menand,71,CHALON SUR SAONE,+33 385900780,46.7848208,4.8534565,
Greffe de COUTANCES,GREFFE,67 RUE SAINT NICOLAS,50,COUTANCES CEDEX,+33 233194211,49.051145,-1.443533,
Greffe de BERGERAC,GREFFE,6 RUE DES CARMES,24,BERGERAC,+33 553635800,44.853625,0.486993,
Greffe de CUSSET,GREFFE,RUE DU BIEF,3,CUSSET CEDEX,+33 470983913,46.135583,3.450061,
Greffe de AUBENAS,GREFFE,RUE GEORGE COUDERC - MAIRIE ANNEXE GREFFE DU TRIBUNAL DE COMMERCE,7,AUBENAS,+33 475892180,44.614323,4.389807,
Greffe de BASTIA,GREFFE,PALAIS DE JUSTICE,20,BASTIA CEDEX,+33 495348470,42.6957,9.446483,
Greffe de BESANCON,GREFFE,1 RUE MEGEVAND,25,BESANCON,+33 891011111,47.236615,6.022439,
Greffe de SAINT MALO,GREFFE,1 RUE DE LA CROIX DESILLES PARC D'AFFAIRES CAP SUD,35,ST MALO,+33 299200090,48.6522059,-1.9720288,
Greffe de ROANNE,GREFFE,5 Bis PL GEORGES CLEMENCEAU PALAIS DE JUSTICE,42,ROANNE CEDEX,+33 477720622,46.040159,4.072934,
Greffe de SAINT-ETIENNE,GREFFE,36 RUE DE LA RESISTANCE,42,ST ETIENNE CEDEX 1,+33 477439797,45.43749,4.386367,
Greffe de TOULON,GREFFE,140 BD MARECHAL LECLERC PALAIS LECLERC,83,TOULON CEDEX 09,+33 891011111,43.125717,5.928175,
Greffe de VERSAILLES,GREFFE,1 PL ANDRE MIGNOT,78,VERSAILLES CEDEX,+33 139071640,48.802383,2.131433,
Greffe de SOISSONS,GREFFE,76 RUE ST MARTIN,2,SOISSONS CEDEX,+33 323530482,49.380396,3.328149,
Greffe de VESOUL,GREFFE,20 RUE DIDON,70,VESOUL CEDEX,+33 384758270,47.615269,6.149404,
Greffe de PAU,GREFFE,3 RUE DUPLAA,64,PAU,+33 559986060,43.299377,-0.37257,
Greffe de VIENNE,GREFFE,27/31 RUE DE BOURGOGNE PALAIS DE JUSTICE,38,VIENNE CEDEX,+33 428380560,45.526419,4.873227,
Greffe de DUNKERQUE,GREFFE,,59,DUNKERQUE CEDEX 1,+33 328519283,51.023183,2.373347,
Greffe de LIBOURNE,GREFFE,36 RUE VICTOR HUGO,33,LIBOURNE CEDEX,+33 557255805,44.915655,-0.246168,
Greffe de MONT-DE-MARSAN,GREFFE,7 PL FRANCIS PLANTE,40,MONT DE MARSAN,+33 558466070,43.887374,-0.502974,
Greffe de LE PUY-EN-VELAY,GREFFE,4 AV DE LA DENTELLE,43,LE PUY EN VELAY,+33 471090078,45.04169,3.88857,
Greffe de NANCY,GREFFE,CITE JUDICIAIRE,54,NANCY CEDEX,+33 383406960,48.678947,6.172192,
Greffe de LILLE METROPOLE,GREFFE,445 BD GAMBETTA TOUR MERCURE,59,TOURCOING,+33 320366545,50.705074,3.162217,
Greffe de DIEPPE,GREFFE,54 RUE DU FAUBOURG DE LA BARRE,76,DIEPPE CEDEX,+33 235841187,49.92346,1.074949,
Greffe de EVREUX,GREFFE,7 RUE DE LA PETITE CITE,27,EVREUX CEDEX,+33 232223720,49.025347,1.150485,
Greffe de MONTLUCON,GREFFE,114 BD COURTAIS,3,MONTLUCON,+33 470050540,46.339906,2.607697,
Greffe de MACON,GREFFE,5 COU MOREAU,71,MACON CEDEX,+33 385380485,46.30951,4.833888,
Greffe de AGEN,GREFFE,6 RUE LOMET,47,AGEN,+33 553773415,44.20079,0.618539,
Greffe de ANGERS,GREFFE,19 RUE RENE ROUCHY,49,ANGERS CEDEX,+33 241878930,47.479273,-0.546961,
Greffe de ANTIBES,GREFFE,NOVA ANTIPOLIS 60,6,ANTIBES,+33 493341014,43.601341,7.091675,
Greffe de ALENCON,GREFFE,81 RUE DU GUE DE SORRE,61,ALENCON,+33 233261755,48.419531,0.10527,
Greffe de BELFORT,GREFFE,1 RUE DE MORIMONT SITE DE L'ESPERANCE,90,BELFORT,+33 384280557,47.641227,6.861343,
Greffe de BERNAY,GREFFE,PL GUSTAVE HEON,27,BERNAY CEDEX,+33 232447827,49.089435,0.597714,
Greffe de AVIGNON,GREFFE,2 BD LIMBERT,84,AVIGNON CEDEX 9,+33 820220422,43.944449,4.816142,
Greffe de ANGOULEME,GREFFE,13 PL DU CHAMPS DE MARS,16,ANGOULEME,+33 545931249,45.649388,0.1603,
Greffe de AURILLAC,GREFFE,21 PL DU SQUARE,15,AURILLAC CEDEX,+33 471481454,44.928934,2.443192,
Greffe de BEAUVAIS,GREFFE,12 RUE DES TEINTURIERS,60,BEAUVAIS CEDEX,+33 344067400,49.429077,2.070944,
Greffe de BLOIS,GREFFE,15 RUE DU PÈRE BROTTIER,41,BLOIS CEDEX,+33 254780791,47.589805,1.335783,
Greffe de PONTOISE,GREFFE,3 RUE VICTOR HUGO PALAIS DE JUSTICE,95,PONTOISE,+33 134254760,49.051595,2.098839,
Greffe de NANTES,GREFFE,2BIS QU FRANCOIS MITTERRAND IMMEUBLE RHUYS,44,NANTES CEDEX 2,+33 240410200,47.207325,-1.556185,
Greffe de POITIERS,GREFFE,21 RUE SAINT LOUIS,86,POITIERS,+33 549888193,46.584048,0.34034,
Greffe de NANTERRE,GREFFE,4 RUE PABLO NERUDA,92,NANTERRE CEDEX,+33 140971717,48.89547,2.215666,
Greffe de RODEZ,GREFFE,2 BD PIERRE BENOIT,12,RODEZ,+33 565735610,44.348857,2.572373,
Greffe de PERIGUEUX,GREFFE,3 PL YVES GUENA,24,PERIGUEUX CEDEX,+33 553456000,45.187376,0.721514,
Greffe de REIMS,GREFFE,55-57 RUE THIERS,51,REIMS CEDEX,+33 326883066,49.254424,4.031639,
Greffe de NICE,GREFFE,6 RUE DESIRE NIEL,6,NICE,+33 493928787,43.700489,7.275971,
Greffe de QUIMPER,GREFFE,23 RUE DU PALAIS,29,QUIMPER,+33 298554247,47.993749,-4.109842,
Greffe de MONTAUBAN,GREFFE,PL BOURDELLE,82,MONTAUBAN,+33 563632088,44.0174097,1.3515356,
Greffe de LA ROCHE-SUR-YON,GREFFE,55 RUE HOCHE,85,LA ROCHE SUR YON CEDEX,+33 251376705,46.67149,-1.433877,
Greffe de BOBIGNY,GREFFE,1-13 RUE MICHEL DE L'HOSPITAL,93,BOBIGNY CEDEX,+33 891011111,48.906871,2.454007,
Greffe de GRASSE,GREFFE,37 AV PIERRE SEMARD,6,GRASSE,+33 891011111,43.660153,6.926492,
Greffe de BREST,GREFFE,150 RUE ERNEST HEMINGWAY,29,BREST,+33 298433131,48.3853511,-4.478258,
Greffe de GUERET,GREFFE,23 PL BONNYAUD PALAIS DE JUSTICE,23,GUERET,+33 555411011,46.168946,1.871077,
Greffe de BORDEAUX,GREFFE,PALAIS DE LA BOURSE,33,BORDEAUX CEDEX,+33 556018170,44.841888,-0.57071,
Greffe de LE HAVRE,GREFFE,16 RUE DU COLONEL FABIEN,76,LE HAVRE CEDEX,+33 235421550,49.492689,0.116816,
Greffe de GAP,GREFFE,,5,GAP CEDEX,+33 492510192,44.557589,6.077532,
Greffe de MENDE,GREFFE,BD HENRI BOURRILLON,48,MENDE,+33 466484141,44.517692,3.496925,
Greffe de CHARTRES,GREFFE,22 BD CHASLES,28,CHARTRES,+33 237840025,48.443854,1.489012,
Greffe de DRAGUIGNAN,GREFFE,11 RUE P CLEMENT PALAIS DE JUSTICE,83,DRAGUIGNAN,+33 494508327,43.537727,6.464993,
Greffe de LAVAL,GREFFE,12 ALL de la Chartrie,53,LAVAL,+33 243597080,48.0692537,-0.7962793,
Greffe de CASTRES,GREFFE,3 RUE DE LA PLATE,81,CASTRES,+33 563625880,43.604503,2.238529,
Greffe de CHAMBERY,GREFFE,12 BD DE LA COLONNE,73,CHAMBERY CEDEX,+33 479337225,45.566941,5.922897,
Greffe de BAYONNE,GREFFE,1 AV ANNE DE NEUBOURG,64,BAYONNE,+33 559463300,43.493149,-1.484324,
Greffe de LE MANS,GREFFE,1 AV PIERRE MENDES France,72,LE MANS CEDEX,+33 243141850,48.006951,0.201434,
Greffe de AUCH,GREFFE,4 PL DU MARECHAL LANNES,32,AUCH,+33 562050224,43.636681,0.584292,
Greffe de BRIVE,GREFFE,6 RUE SAINT BERNARD,19,BRIVE CEDEX,+33 555177676,45.157499,1.531445,
Greffe de BOURG-EN-BRESSE,GREFFE,32 AV ALSACE LORRAINE,1,BOURG EN BRESSE CEDEX,+33 474320003,46.201918,5.220586,
Greffe de GRENOBLE,GREFFE,PLACE FIRMIN GAUTIER,38,GRENOBLE CEDEX 1,+33 456585050,45.191137,5.711452,
Greffe de LIMOGES,GREFFE,23 PL WINSTON CHRUCHILL Cité Judiciaire,87,LIMOGES,+33 555346075,45.829238,1.255545,
Greffe de SAINTES,GREFFE,PALAIS DE JUSTICE-COURS NATIONAL,17,SAINTES CEDEX,+33 546930102,45.747701,-0.634815,
Greffe de ORLEANS,GREFFE,44 RUE DE LA BRETONNERIE,45,ORLEANS CEDEX 1,+33 238780707,47.90476,1.905693,
Greffe de PERPIGNAN,GREFFE,4 RUE ANDRE BOSCH,66,PERPIGNAN CEDEX,+33 468342433,42.698684,2.8958719,
Greffe de ROUEN,GREFFE,3 RUE JACQUES LE LIEUR,76,ROUEN CEDEX,+33 235700860,49.439152,1.090522,
Greffe de NIMES,GREFFE,12 RUE CITE FOULC,30,NIMES,+33 466760351,43.833126,4.360349,
Greffe de MONTPELLIER,GREFFE,9 RUE DE TARRAGONE,34,MONTPELLIER,+33 467608088,43.604347,3.886102,
Greffe de PARIS,GREFFE,1 QU DE LA CORSE,75,PARIS,+33 891017575,48.856128,2.346734,
Greffe de LYON,GREFFE,44 RUE DE BONNEL,69,LYON CEDEX 03,+33 472606980,45.764043,4.835659,
Greffe de LONS-LE-SAUNIER,GREFFE,7 PL DE L'ANCIEN COLLEGE,39,LONS LE SAUNIER CEDEX,+33 384244476,46.671361,5.550796,
Greffe de SALON-DE-PROVENCE,GREFFE,481 BD DE LA REPUBLIQUE,13,SALON DE PROVENCE CEDEX,+33 490560356,43.640493,5.08903,
Greffe de TROYES,GREFFE,134 RUE DU GENERAL DE GAULLE,10,TROYES,+33 325731508,48.297349,4.069437,
Greffe de SAINT-QUENTIN,GREFFE,PALAIS DE JUSTICE,2,ST QUENTIN CEDEX,+33 323623410,49.847897,3.284365,
Greffe de VILLEFRANCHE-TARARE,GREFFE,350 BD GAMBETTA,69,VILLEFRANCHE SUR SAONE,+33 474090286,45.993429,4.71517,
Greffe de TOULOUSE,GREFFE,PL DE LA BOURSE,31,TOULOUSE CEDEX 7,+33 561110200,43.601853,1.442252,
Greffe de AIX-EN-PROVENCE,GREFFE,38 COU MIRABEAU HOTEL D'ESPAGNET,13,AIX EN PROVENCE,+33 442377614,43.527354,5.449916,
Tribunal pour Enfants de Caen,ENFANT,Rue Saint-Manvieu  ,14,CAEN,+33 2 31 86 39 32,49.1829083,-0.3711223,
Tribunal pour Enfants d'Angoulême,ENFANT,Place Francis Louvel B.P. 214 ,16,ANGOULEME,+33 5 45 37 11 47,45.649207,0.15429,
Tribunal pour Enfants d'Aurillac,ENFANT,21 Place du Square  ,15,AURILLAC CEDEX,+33 4 71 45 59 59,44.927738,2.443886,
Tribunal pour Enfants de Dijon,ENFANT,Cité Judiciaire 13 Boulevard Clémenceau  BP 1513 ,21,DIJON CEDEX,+33 3 80 70 45 00,47.327213,5.0439875,
Tribunal pour Enfants d'Ajaccio,ENFANT,4 boulevard Masseria BP 47 ,20,AJACCIO CEDEX 1,+33 4 95 23 77 72,41.925605,8.736978,
Tribunal pour Enfants de Niort,ENFANT,2 Rue du Palais B.P. 8819 ,79,NIORT CEDEX,+33 5 49 77 22 50,46.323334,-0.466306,
Tribunal pour Enfants de Versailles,ENFANT,3 Avenue de l'Europe B.P. 1122 ,78,VERSAILLES CEDEX,+33 1 39 07 39 07,48.8034136,2.1304448,
Tribunal pour Enfants de Carpentras,ENFANT,Impasse du Siècle 41 Place du Général de Gaulle ,84,CARPENTRAS,+33 4 90 36 23 31,44.0520769,5.0476928,
Tribunal pour Enfants d'Avignon,ENFANT,Palais de Justice 2 Boulevard Limbert ,84,AVIGNON CEDEX 9,+33 4 32 74 75 06,43.944784,4.816066,
Tribunal pour Enfants de Chalon-sur-Saône,ENFANT,Rue Emiland-Menand  ,71,CHALON SUR SAONE,+33 3 85 93 77 00,46.7846259,4.8536094,
Tribunal pour Enfants de Vesoul,ENFANT,Place du Palais B.P. 387 ,70,VESOUL CEDEX,+33 3 84 78 58 00,47.623709,6.157897,
Tribunal pour Enfants de Meaux,ENFANT,Avenue Salvador Allendé B.P. 230 ,77,MEAUX,+33 1 60 09 75 00,48.9555641,2.890683,
Tribunal pour Enfants de Rouen,ENFANT,Annexe du Palais de Justice 31/33 Rue aux Juifs ,76,ROUEN CEDEX,+33 2 35 52 87 52,49.4420271,1.0923649,
Tribunal pour Enfants de Laon,ENFANT,Place Aubry  ,2,LAON CEDEX,+33 3 23 26 29 15,49.564965,3.625177,
Tribunal pour Enfants de Marseille,ENFANT,6 Rue Joseph Autran  ,13,MARSEILLE,+33 4 91 15 50 50,43.2907289,5.3740786,
Tribunal pour Enfants de Tarascon,ENFANT,quartier Kilmaine  ,13,TARASCON,+33 4 90 91 49 00,43.8036778245,4.66305549339,
Tribunal pour Enfants d'Aix-en-Provence,ENFANT,40 Boulevard Carnot  ,13,AIX EN PROVENCE,+33 4 42 33 83 00,43.5274683,5.4554748,
Tribunal pour Enfants de Rodez,ENFANT,Boulevard de Guizard BP 3123 ,12,RODEZ,+33 5 65 73 43 00,44.3489355,2.5727445,
Tribunal pour Enfants de Carcassonne,ENFANT,28 Boulevard Jean-Jaurès B.P. 818 ,11,CARCASSONNE,+33 4 68 25 75 45,43.214867,2.354691,
Tribunal pour Enfants de Troyes,ENFANT,83 Rue du Général de Gaulle  ,10,TROYES,+33 3 25 43 55 70,48.297202,4.069243,
Tribunal pour Enfants de Guéret,ENFANT,23 Place Bonnyaud  ,23,GUERET,+33 5 55 51 93 59,46.1690274,1.870893,
Tribunal pour Enfants de Brive-la-Gaillarde,ENFANT,Palais de Justice Boulevard du Maréchal Lyautey ,19,BRIVE LA GAILLARDE,+33 5 55 74 27 32,45.1567616,1.5325855,
Tribunal pour Enfants de Bourges,ENFANT,8 Rue des Arènes  ,18,BOURGES,+33 2 48 68 34 34,47.0849533,2.3929755,
Tribunal pour Enfants de La Rochelle,ENFANT,14 Rue du Palais  ,17,LA ROCHELLE,+33 5 46 50 58 31,46.1596168,-1.1537631,
Tribunal pour Enfants de Bordeaux,ENFANT,Rue des Frères Bonie  ,33,BORDEAUX CEDEX,+33 5 56 01 34 00,44.836788,-0.5799446,
Tribunal pour Enfants de Montbéliard,ENFANT,Cité Judiciaire Rue Mozart ,25,MONTBELIARD CEDEX,+33 3 81 90 70 00,47.5118726,6.7997133,
Tribunal pour Enfants de Besançon,ENFANT,1 Rue Mégevand B.P. 459 ,25,BESANCON,+33 3 81 61 60 00,47.236418,6.022855,
Tribunal pour Enfants de Périgueux,ENFANT,19 Bis Cours Montaigne  ,24,PERIGUEUX CEDEX,+33 5 53 02 77 00,45.1855341,0.720621,
Tribunal pour Enfants de Bergerac,ENFANT,Place de la République  ,24,BERGERAC,+33 5 53 74 40 00,44.8533557,0.4830045,
Tribunal pour Enfants d'Auxerre,ENFANT,Place du Palais de Justice B.P. 39 ,89,AUXERRE CEDEX,+33 3 86 72 30 10,47.798136,3.567723,
Tribunal pour Enfants de Bobigny,ENFANT,173 Av. P. Vaillant Couturier  ,93,BOBIGNY CEDEX,+33 1 48 95 13 93,48.9090756,2.4497642,
Tribunal pour Enfants de Saint-Pierre,ENFANT,28 Rue Augustin Archambaud B.P. 338 ,97,ST PIERRE CEDEX,+33 2 62 96 10 00,-21.3277429,55.4824541,
Tribunal pour Enfants de Papeete,ENFANT,42 Avenue Bruat B.P. 4633 ,98,PAPEETE,+689 41 55 00,-17.5430158023,-149.570898554,
Tribunal pour Enfants de Villefranche-sur-Saône,ENFANT,Palais de Justice 350 Boulevard Gambetta  B.P. 474 ,69,VILLEFRANCHE SUR SAONE,+33 4 74 65 63 63,45.9898649,4.7187518,
Tribunal pour Enfants de Laval,ENFANT,13 Place Saint Tugal BP 81515 ,53,LAVAL,+33 2 43 53 51 11,48.0693098,-0.7735482,
Tribunal pour Enfants de Narbonne,ENFANT,40 Bd du Général de Gaulle B.P. 810 ,11,NARBONNE CEDEX,+33 4 68 32 71 55,43.1842152,3.0088775,
Tribunal pour Enfants de Vienne,ENFANT,16 Place Charles de Gaulle  ,38,VIENNE CEDEX,+33 4 74 78 81 81,45.525884,4.8739588,
Tribunal pour Enfants de Valence,ENFANT,Place du Palais de Justice B.P. 2113 ,26,VALENCE CEDEX,+33 4 75 75 49 49,44.930308,4.927628,
Tribunal pour Enfants de Nice,ENFANT,3 Place du Palais   Palais Rusca  ,6,NICE,+33 4 92 17 30 00,43.709165,7.270946,
Tribunal pour Enfants de Chartres,ENFANT,6 Rue du Palais de Justice  ,28,CHARTRES,+33 2 37 18 77 54,48.4490898,1.486686,
Tribunal pour Enfants d'Evreux,ENFANT,Palais de Justice 30 Rue Joséphine ,27,EVREUX CEDEX,+33 2 32 29 55 00,49.023877,1.15966,
Tribunal pour Enfants de Quimper,ENFANT,48 A quai de l'Odet  ,29,QUIMPER,+33 2 98 82 88 06,47.992566,-4.108723,
Tribunal pour Enfants de Brest,ENFANT,32 Rue de Denver  ,29,BREST,+33 2 98 44 66 44,48.3843442,-4.485484,
Tribunal pour Enfants de Bastia,ENFANT,Rond Point de Moro Giafferi  ,20,BASTIA CEDEX,+33 4 95 55 23 61,42.7021365,9.4507475,
Tribunal pour Enfants de Toulouse,ENFANT,2 allées Jules Guesde BP 7015 ,31,TOULOUSE CEDEX 7,+33 5 34 31 79 80,43.593022,1.444409,
